Bowler,Runs,ReleaseY,ReleaseZ,Bowler Type
JA Porter,0,-0.9570956,1.9616201,RM
JA Porter,0,-0.9259613,1.9601802,RM
S Snater,1,-0.8588861,1.9708153,RM
S Snater,0,-0.8231163,1.985992,RM
S Snater,0,-0.7941304,1.9307162,RM
S Snater,0,-0.8620963,2.0062572,RM
JA Porter,1,-0.9433225,1.9834391,RM
JA Porter,1,-0.9848619,1.9750008,RM
JA Porter,0,-0.9098789,1.9538241,RM
JA Porter,1,-0.9568541,1.9485857,RM
JA Porter,1,-0.9406594,1.9596201,RM
S Snater,0,-0.7909816,1.97652,RM
S Snater,0,-0.8138096,2.0225699,RM
S Snater,0,-0.8749183,2.0479472,RM
S Snater,1,-0.881914,2.0696177,RM
S Snater,1,-0.8886287,2.039771,RM
S Snater,0,-0.8060848,2.0151122,RM
SR Harmer,0,-0.5358008,2.2833299,ROB
SR Harmer,0,-0.5364933,2.2825202,ROB
SR Harmer,0,-0.6160657,2.3161946,ROB
S Snater,0,-0.7996518,2.0031205,RM
SR Harmer,0,0.8262817,2.2715022,ROB
SR Harmer,1,0.8723198,2.2852049,ROB
SR Harmer,0,0.7497876,2.2461873,ROB
SR Harmer,0,0.8043583,2.3103624,ROB
SR Harmer,4,0.8345249,2.2848441,ROB
SR Harmer,0,-0.59356,2.2318757,ROB
SR Harmer,2,-0.4951532,2.2245634,ROB
SR Harmer,0,0.8409559,2.3327554,ROB
SR Harmer,4,0.7733712,2.3156839,ROB
SR Harmer,0,0.8787163,2.2974211,ROB
SR Harmer,1,0.8611405,2.2645583,ROB
SR Harmer,0,-0.6773394,2.3020664,ROB
SR Harmer,3,-0.6657775,2.2559735,ROB
SR Harmer,0,0.8996537,2.2433706,ROB
SR Harmer,0,1.002486,2.3836277,ROB
SR Harmer,0,0.8583216,2.3351156,ROB
SR Harmer,1,0.9736575,2.3257402,ROB
SR Harmer,0,0.9584124,2.2822632,ROB
SR Harmer,0,1.0082898,2.2903841,ROB
SR Harmer,0,-0.6108144,2.2737636,ROB
SR Harmer,3,-0.5233166,2.2085659,ROB
SR Harmer,0,-0.6025803,2.3427445,ROB
CF Parkinson,0,0.7986549,2.1086704,LOB
CF Parkinson,4,0.8477334,2.0633243,LOB
BA Raine,0,0.891355,1.9656362,RM
BA Raine,0,0.9220972,2.0140883,RM
BA Raine,0,-0.5710754,1.9794785,RM
CF Parkinson,0,-0.5436611,1.9132634,LOB
CF Parkinson,4,-0.5278657,2.012003,LOB
CF Parkinson,0,-0.6584028,2.124203,LOB
CF Parkinson,0,-0.6327216,2.1149008,LOB
CF Parkinson,0,-0.6452913,2.1062171,LOB
CF Parkinson,0,-0.6298797,2.1369062,LOB
CF Parkinson,0,-0.6285343,2.1188166,LOB
CF Parkinson,0,-0.6275072,2.0880992,LOB
CF Parkinson,0,-0.5382095,2.1223959,LOB
CF Parkinson,0,-0.6149864,2.0602774,LOB
CF Parkinson,0,-0.6384648,2.1053386,LOB
CF Parkinson,0,-0.6441158,2.0576815,LOB
CF Parkinson,4,-0.6658645,2.1486625,LOB
CF Parkinson,0,-0.6483563,2.1276001,LOB
CF Parkinson,1,-0.7327423,2.2300718,LOB
CF Parkinson,0,-0.6368512,2.097908,LOB
CF Parkinson,0,-0.7925121,2.0702216,LOB
