Bowler,Runs,Batting Hand,ReleaseY,ReleaseZ,PitchX,PitchY,PastY,PastZ
SR Harmer,1,LHB,0.4872454,1.9077436,4.5881216,0.3313492,0.5507835,0.5883509
SR Harmer,0,LHB,0.596972,2.0747466,3.9857383,0.1925798,0.2410918,0.431963
SR Harmer,0,LHB,0.7815207,2.214927,4.7322871,0.2989662,0.4605117,0.5010738
SR Harmer,0,LHB,0.5510373,2.0880878,4.8933368,-0.0046126,0.0995431,0.650024
JA Porter,0,RHB,-0.8625739,2.0020012,4.627552,-0.3055177,-0.3307213,0.3542851
JA Porter,0,RHB,-0.7875446,1.8778825,9.8295908,-0.4373001,-0.1890908,0.6979461
JA Porter,0,RHB,-0.8912087,1.9544726,6.7832341,-0.3035177,-0.0386606,0.6147338
JA Porter,0,RHB,-0.814199,1.9675591,7.3829176,-0.0942081,0.4423386,0.8203297
JA Porter,0,LHB,0.78537,1.9452413,7.0799056,0.4693286,0.1987199,0.6858161
JA Porter,0,LHB,0.8135069,1.9470561,9.9612612,0.590861,0.2015751,0.6866638
JA Porter,1,LHB,0.754461,1.9940737,7.1537411,0.1946769,-0.1962296,0.6032382
JA Porter,4,RHB,-0.8591214,1.9645947,8.6366906,-0.5495804,-0.3133732,0.7731796
JA Porter,0,RHB,-0.8676069,1.9689114,8.0764647,-0.2908389,0.2200112,0.6924135
JA Porter,0,RHB,-0.8836867,1.9700241,6.5944828,-0.3435943,-0.116364,0.6579321
JA Porter,0,RHB,-0.899285,1.9329088,7.0235465,-0.3635919,-0.0130568,0.5494119
JA Porter,0,RHB,-0.7933807,1.9733287,8.0041107,-0.3921553,-0.2418639,0.690473
JA Porter,0,LHB,0.7387163,1.965487,7.7533036,0.6177519,0.3523381,0.7790516
JA Porter,0,LHB,0.7094866,1.91724,7.3068146,0.5445787,0.3314344,0.6840565
JA Porter,0,LHB,0.7151342,1.977376,7.0589235,0.247645,-0.1555645,0.6309049
JA Porter,0,RHB,-0.89927,2.0045144,5.7655899,-0.3142395,-0.0857795,0.4364065
JA Porter,0,RHB,-0.8638347,1.9678284,8.0387282,-0.3829457,-0.0925499,0.7770327
JA Porter,4,RHB,-0.8857851,1.9712662,8.1940919,-0.4780391,-0.1975801,0.7664069
E Bosch,1,LHB,0.9707058,2.1145161,8.5721791,0.5857352,0.3557854,0.9268848
E Bosch,4,RHB,-0.8624477,2.0170723,7.311682,-0.5210193,-0.3232716,0.7096844
